occasion,stream,mu_temp
1,Indian,8.898948830409356
1,Todd,10.552828358208956
2,Indian,14.83881488095238
2,Todd,16.517877525252526
3,Indian,19.79804239766082
3,Todd,22.66643367346939
4,Indian,22.556358208955224
4,Todd,24.014468452380953
5,Indian,18.14157803030303
5,Todd,17.268669590643274
6,Indian,10.436898809523809
6,Todd,9.246891393442622
7,Indian,10.43000303030303
7,Todd,11.39473263888889
8,Indian,14.638133445945947
8,Todd,16.368378623188406
9,Indian,19.853898484848486
9,Todd,21.72528846153846
10,Indian,21.897055555555557
10,Todd,22.768430555555554
11,Indian,17.839461988304095
11,Todd,17.88772149122807
12,Indian,9.380644953051643
12,Todd,7.96956455399061
13,Indian,9.786865
13,Todd,10.432480709876543
